Anti-social behaviour: England, South West, Cornwall, Cornwall, North Cornwall, EX238LH, Y52Q39, Bude South, On or near Church Path
Anti-social behaviour: England, Bishop Auckland, County Durham, Durham, North East, DL146PG, Y51Q30, Woodhouse Close, On or near Waine Crescent
Anti-social behaviour: England, Bishop Auckland, County Durham, Durham, North East, DL146PG, Y51Q30, Woodhouse Close, On or near Vart Road
Anti-social behaviour: England, Bishop Auckland, County Durham, Durham, North East, DL146PG, Y51Q30, Woodhouse Close, On or near Birch Avenue
Criminal damage and arson: England, Bishop Auckland, County Durham, Durham, North East, DL146PG, Y51Q30, Woodhouse Close, On or near Waine Crescent
Criminal damage and arson: England, Bishop Auckland, County Durham, Durham, North East, DL146PG, Y51Q30, Woodhouse Close, On or near Waine Crescent
Criminal damage and arson: England, Bishop Auckland, County Durham, Durham, North East, DL149AH, Y51Q30, Woodhouse Close, On or near Fylands Drive
Drugs: England, Bishop Auckland, County Durham, Durham, North East, DL146PG, Y51Q30, Woodhouse Close, On or near Waine Crescent
Other theft: England, Bishop Auckland, County Durham, Durham, North East, DL149TH, Y51Q30, Woodhouse Close, On or near Boddy Street
Other theft: England, Bishop Auckland, County Durham, Durham, North East, DL149TH, Y51Q30, Woodhouse Close, On or near Boddy Street
Other theft: England, Bishop Auckland, County Durham, Durham, North East, DL149TH, Y51Q30, Woodhouse Close, On or near Boddy Street
Possession of weapons: England, Bishop Auckland, County Durham, Durham, North East, DL146PG, Y51Q30, Woodhouse Close, On or near Waine Crescent
Public order: England, Bishop Auckland, County Durham, Durham, North East, DL146PU, Y51Q30, Woodhouse Close, On or near Aclet Close
Public order: England, Bishop Auckland, County Durham, Durham, North East, DL146PG, Y51Q30, Woodhouse Close, On or near Waine Crescent
Public order: England, Bishop Auckland, County Durham, Durham, North East, DL149TH, Y51Q30, Woodhouse Close, On or near Dilks Street
Vehicle crime: England, Bishop Auckland, County Durham, Durham, North East, DL146PA, Y51Q30, Woodhouse Close, On or near St Mary'S Close
Violence and sexual offences: England, Bishop Auckland, County Durham, Durham, North East, DL146PG, Y51Q30, Woodhouse Close, On or near Waine Crescent
Violence and sexual offences: England, Bishop Auckland, County Durham, Durham, North East, DL146QG, Y51Q30, Woodhouse Close, On or near Ruddock Avenue
Violence and sexual offences: England, Bishop Auckland, County Durham, Durham, North East, DL146PB, Y51Q30, Woodhouse Close, On or near Sports/Recreation Area
Violence and sexual offences: England, Bishop Auckland, County Durham, Durham, North East, DL146NX, Y51Q30, Woodhouse Close, On or near Hardisty Crescent
Other crime: England, Bishop Auckland, County Durham, Durham, North East, DL149TH, Y51Q30, Woodhouse Close, On or near Boddy Street
Other crime: England, Bishop Auckland, County Durham, Durham, North East, DL149TH, Y51Q30, Woodhouse Close, On or near Boddy Street
Anti-social behaviour: England, Bishop Auckland, County Durham, Durham, North East, DL140QS, Y51Q30, Woodhouse Close, On or near Weardale Drive
Anti-social behaviour: England, Bishop Auckland, County Durham, Durham, North East, DL140QS, Y51Q30, Woodhouse Close, On or near Weardale Drive
Anti-social behaviour: England, Bishop Auckland, County Durham, Durham, North East, DL140SB, Y51Q30, Woodhouse Close, On or near Fairfield Court
Anti-social behaviour: England, Bishop Auckland, County Durham, Durham, North East, DL140QS, Y51Q30, Woodhouse Close, On or near Weardale Drive
Anti-social behaviour: England, Bishop Auckland, County Durham, Durham, North East, DL146JZ, Y51Q30, Woodhouse Close, On or near Further/Higher Educational Building
Burglary: England, Bishop Auckland, County Durham, Durham, North East, DL146QH, Y51Q30, Woodhouse Close, On or near Murphy Crescent
Criminal damage and arson: England, Bishop Auckland, County Durham, Durham, North East, DL140SA, Y51Q30, Woodhouse Close, On or near Linburn Drive
Public order: England, Bishop Auckland, County Durham, Durham, North East, DL140SB, Y51Q30, Woodhouse Close, On or near Fairfield Court
Public order: England, Bishop Auckland, County Durham, Durham, North East, DL140SA, Y51Q30, Woodhouse Close, On or near Linburn Drive
Vehicle crime: England, Bishop Auckland, County Durham, Durham, North East, DL146QH, Y51Q30, Woodhouse Close, On or near Murphy Crescent
Anti-social behaviour: England, Bishop Auckland, County Durham, Durham, North East, DL146QW, Y51Q30, Woodhouse Close, On or near Price Avenue
Anti-social behaviour: England, Bishop Auckland, County Durham, Durham, North East, DL146RE, Y51Q30, Woodhouse Close, On or near Walker Drive
Anti-social behaviour: England, Bishop Auckland, County Durham, Durham, North East, DL146TR, Y51Q30, Woodhouse Close, On or near Kitchen Avenue
Anti-social behaviour: England, Bishop Auckland, County Durham, Durham, North East, DL146QR, Y51Q30, Woodhouse Close, On or near Douthwaite Road
Anti-social behaviour: England, Bishop Auckland, County Durham, Durham, North East, DL146TR, Y51Q30, Woodhouse Close, On or near Kitchen Avenue
Burglary: England, Bishop Auckland, County Durham, Durham, North East, DL146TL, Y51Q30, Woodhouse Close, On or near Snowdon Crescent
Criminal damage and arson: England, Bishop Auckland, County Durham, Durham, North East, DL146QS, Y51Q30, Woodhouse Close, On or near Proudfoot Drive
Criminal damage and arson: England, Bishop Auckland, County Durham, Durham, North East, DL146QS, Y51Q30, Woodhouse Close, On or near Proudfoot Drive
Criminal damage and arson: England, Bishop Auckland, County Durham, Durham, North East, DL146QS, Y51Q30, Woodhouse Close, On or near Proudfoot Drive
Other theft: England, Bishop Auckland, County Durham, Durham, North East, DL146QU, Y51Q30, Woodhouse Close, On or near Lowther Road
Other theft: England, Bishop Auckland, County Durham, Durham, North East, DL146RF, Y51Q30, Woodhouse Close, On or near Brusselton View
Other theft: England, Bishop Auckland, County Durham, Durham, North East, DL146RF, Y51Q30, Woodhouse Close, On or near Brusselton View
Other theft: England, Bishop Auckland, County Durham, Durham, North East, DL146QN, Y51Q30, Woodhouse Close, On or near Howard Close
Other theft: England, Bishop Auckland, County Durham, Durham, North East, DL146RH, Y51Q30, Woodhouse Close, On or near Gudmunsen Avenue
Public order: England, Bishop Auckland, County Durham, Durham, North East, DL146TL, Y51Q30, Woodhouse Close, On or near Snowdon Crescent
Shoplifting: England, Bishop Auckland, County Durham, Durham, North East, DL146TL, Y51Q30, Woodhouse Close, On or near Snowdon Crescent
Shoplifting: England, Bishop Auckland, County Durham, Durham, North East, DL146TL, Y51Q30, Woodhouse Close, On or near Snowdon Crescent
Shoplifting: England, Bishop Auckland, County Durham, Durham, North East, DL146TL, Y51Q30, Woodhouse Close, On or near Snowdon Crescent
Shoplifting: England, Bishop Auckland, County Durham, Durham, North East, DL146TL, Y51Q30, Woodhouse Close, On or near Snowdon Crescent
Shoplifting: England, Bishop Auckland, County Durham, Durham, North East, DL146TL, Y51Q30, Woodhouse Close, On or near Snowdon Crescent
Shoplifting: England, Bishop Auckland, County Durham, Durham, North East, DL146TL, Y51Q30, Woodhouse Close, On or near Snowdon Crescent
Shoplifting: England, Bishop Auckland, County Durham, Durham, North East, DL146QS, Y51Q30, Woodhouse Close, On or near Proudfoot Drive
Shoplifting: England, Bishop Auckland, County Durham, Durham, North East, DL146TL, Y51Q30, Woodhouse Close, On or near Snowdon Crescent
Shoplifting: England, Bishop Auckland, County Durham, Durham, North East, DL146TL, Y51Q30, Woodhouse Close, On or near Snowdon Crescent
Shoplifting: England, Bishop Auckland, County Durham, Durham, North East, DL146TL, Y51Q30, Woodhouse Close, On or near Snowdon Crescent
Shoplifting: England, Bishop Auckland, County Durham, Durham, North East, DL146TL, Y51Q30, Woodhouse Close, On or near Snowdon Crescent
Shoplifting: England, Bishop Auckland, County Durham, Durham, North East, DL146TL, Y51Q30, Woodhouse Close, On or near Snowdon Crescent
Violence and sexual offences: England, Bishop Auckland, County Durham, Durham, North East, DL146TR, Y51Q30, Woodhouse Close, On or near Kitchen Avenue
Violence and sexual offences: England, Bishop Auckland, County Durham, Durham, North East, DL146TL, Y51Q30, Woodhouse Close, On or near Snowdon Crescent
Violence and sexual offences: England, Bishop Auckland, County Durham, Durham, North East, DL146RD, Y51Q30, Woodhouse Close, On or near Taylor Square
Violence and sexual offences: England, Bishop Auckland, County Durham, Durham, North East, DL146QS, Y51Q30, Woodhouse Close, On or near Proudfoot Drive
Other crime: England, Bishop Auckland, County Durham, Durham, North East, DL146TL, Y51Q30, Woodhouse Close, On or near Snowdon Crescent
Other crime: England, Bishop Auckland, County Durham, Durham, North East, DL146TL, Y51Q30, Woodhouse Close, On or near Snowdon Crescent
Anti-social behaviour: England, Bishop Auckland, County Durham, Durham, North East, DL4 1AT, Y51Q30, Shildon West, On or near Garbutt Street
Anti-social behaviour: England, Bishop Auckland, County Durham, Durham, North East, DL4 1RH, Y51Q30, Shildon West, On or near George Street
Anti-social behaviour: England, Bishop Auckland, County Durham, Durham, North East, DL4 1RH, Y51Q30, Shildon West, On or near George Street
Anti-social behaviour: England, Bishop Auckland, County Durham, Durham, North East, DL4 1JQ, Y51Q30, Shildon West, On or near Regent Street
Burglary: England, Bishop Auckland, County Durham, Durham, North East, DL4 1JG, Y51Q30, Shildon West, On or near Ruby Street
Criminal damage and arson: England, Bishop Auckland, County Durham, Durham, North East, Darlington, Sedgefield, DL4 1LU, Y51Q30, Shildon West, On or near St John'S Road
Drugs: England, Bishop Auckland, County Durham, Durham, North East, DL4 1JQ, Y51Q30, Shildon West, On or near Freville Street
Drugs: England, Bishop Auckland, County Durham, Durham, North East, DL4 1RH, Y51Q30, Shildon West, On or near George Street
Violence and sexual offences: England, Bishop Auckland, County Durham, Durham, North East, DL4 1RH, Y51Q30, Shildon West, On or near Salisbury Terrace
Violence and sexual offences: England, Bishop Auckland, County Durham, Durham, North East, DL4 1RH, Y51Q30, Shildon West, On or near George Street
Violence and sexual offences: England, Bishop Auckland, County Durham, Durham, North East, DL4 1JQ, Y51Q30, Shildon West, On or near Freville Street
Violence and sexual offences: England, Bishop Auckland, County Durham, Durham, North East, DL4 1JQ, Y51Q30, Shildon West, On or near Freville Street
Violence and sexual offences: England, Bishop Auckland, County Durham, Durham, North East, Darlington, Sedgefield, DL4 1HW, Y51Q30, Shildon West, On or near Chapel Street
Anti-social behaviour: England, Bishop Auckland, County Durham, Durham, North East, Darlington, Sedgefield, DL4 2LN, Y51Q30, Shildon West, On or near Adamson Street
Anti-social behaviour: England, Bishop Auckland, County Durham, Durham, North East, Darlington, Sedgefield, DL4 2JU, Y51Q30, Shildon West, On or near Kilburn Street
Anti-social behaviour: England, Bishop Auckland, County Durham, Durham, North East, Darlington, Sedgefield, DL4 1PA, Y51Q30, Shildon West, On or near Station Street
Anti-social behaviour: England, Bishop Auckland, County Durham, Durham, North East, DL4 1AZ, Y51Q30, Shildon West, On or near Auckland Terrace
Anti-social behaviour: England, Bishop Auckland, County Durham, Durham, North East, Darlington, Sedgefield, DL4 2JN, Y51Q30, Shildon West, On or near All Saints' Road
Anti-social behaviour: England, Bishop Auckland, County Durham, Durham, North East, Darlington, Sedgefield, DL4 2DU, Y51Q30, Shildon West, On or near Woodland View
Anti-social behaviour: England, Bishop Auckland, County Durham, Durham, North East, Darlington, Sedgefield, DL4 1NJ, Y51Q30, Shildon West, On or near Hackworth Close
Anti-social behaviour: England, Bishop Auckland, County Durham, Durham, North East, Darlington, Sedgefield, DL4 1PJ, Y51Q30, Shildon West, On or near Wylam Close
Burglary: England, Bishop Auckland, County Durham, Durham, North East, Darlington, Sedgefield, DL4 1NN, Y51Q30, Shildon West, On or near Windsor Court
Criminal damage and arson: England, Bishop Auckland, County Durham, Durham, North East, Darlington, Sedgefield, DL4 2DU, Y51Q30, Shildon West, On or near Woodland View
Criminal damage and arson: England, Bishop Auckland, County Durham, Durham, North East, Darlington, Sedgefield, DL4 2DY, Y51Q30, Shildon West, On or near The Mallards
Criminal damage and arson: England, Bishop Auckland, County Durham, Durham, North East, DL4 1AZ, Y51Q30, Shildon West, On or near Auckland Terrace
Criminal damage and arson: England, Bishop Auckland, County Durham, Durham, North East, Darlington, Sedgefield, DL4 2LN, Y51Q30, Shildon West, On or near Adamson Street
Drugs: England, Bishop Auckland, County Durham, Durham, North East, Darlington, Sedgefield, DL4 2JU, Y51Q30, Shildon West, On or near Kilburn Street
Other theft: England, Bishop Auckland, County Durham, Durham, North East, Darlington, Sedgefield, DL4 2NE, Y51Q30, Shildon West, On or near Petrol Station
Vehicle crime: England, Bishop Auckland, County Durham, Durham, North East, Darlington, Sedgefield, DL4 2JF, Y51Q30, Shildon West, On or near Beresford Street
Violence and sexual offences: England, Bishop Auckland, County Durham, Durham, North East, Darlington, Sedgefield, DL4 2JU, Y51Q30, Shildon West, On or near Kilburn Street
Violence and sexual offences: England, Bishop Auckland, County Durham, Durham, North East, Darlington, Sedgefield, DL4 2JU, Y51Q30, Shildon West, On or near Kilburn Street
Violence and sexual offences: England, Bishop Auckland, County Durham, Durham, North East, Darlington, Sedgefield, DL4 2JN, Y51Q30, Shildon West, On or near All Saints' Road
Violence and sexual offences: England, Bishop Auckland, County Durham, Durham, North East, Darlington, Sedgefield, DL4 1HQ, Y51Q30, Shildon West, On or near South Street
Violence and sexual offences: England, Bishop Auckland, County Durham, Durham, North East, DL4 1JZ, Y51Q30, Shildon West, On or near Princes Street
Violence and sexual offences: England, Bishop Auckland, County Durham, Durham, North East, Darlington, Sedgefield, DL4 1NJ, Y51Q30, Shildon West, On or near Hackworth Close
Anti-social behaviour: England, Bishop Auckland, County Durham, Durham, North East, DL4 1BD, Y51Q30, Shildon West, On or near Valley View Court
Anti-social behaviour: England, Bishop Auckland, County Durham, Durham, North East, DL4 1AS, Y51Q30, Shildon West, On or near Co-Operative Street
Anti-social behaviour: England, Bishop Auckland, County Durham, Durham, North East, DL4 1HA, Y51Q30, Shildon West, On or near Parking Area
Anti-social behaviour: England, Bishop Auckland, County Durham, Durham, North East, DL4 1FL, Y51Q30, Shildon West, On or near Southlands Gardens
Anti-social behaviour: England, Bishop Auckland, County Durham, Durham, North East, DL4 1BL, Y51Q30, Shildon West, On or near Highland Gardens
Anti-social behaviour: England, Bishop Auckland, County Durham, Durham, North East, DL4 1DU, Y51Q30, Shildon West, On or near Church Street
Anti-social behaviour: England, Bishop Auckland, County Durham, Durham, North East, DL4 1HB, Y51Q30, Shildon West, On or near Parking Area
Anti-social behaviour: England, Bishop Auckland, County Durham, Durham, North East, DL4 1EZ, Y51Q30, Shildon West, On or near Supermarket
Anti-social behaviour: England, Bishop Auckland, County Durham, Durham, North East, DL148TD, Y51Q30, Coundon, On or near High Street
Anti-social behaviour: England, Bishop Auckland, County Durham, Durham, North East, DL4 1HA, Y51Q30, Shildon West, On or near Parking Area
Burglary: England, Bishop Auckland, County Durham, Durham, North East, DL4 1LL, Y51Q30, Shildon West, On or near Temperance Avenue
Burglary: England, Bishop Auckland, County Durham, Durham, North East, DL4 1LL, Y51Q30, Shildon West, On or near Temperance Avenue
Criminal damage and arson: England, Bishop Auckland, County Durham, Durham, North East, DL148UR, Y51Q30, Shildon West, On or near Close House
Criminal damage and arson: England, Bishop Auckland, County Durham, Durham, North East, DL4 1HB, Y51Q30, Shildon West, On or near Parking Area
Criminal damage and arson: England, Bishop Auckland, County Durham, Durham, North East, DL4 1HB, Y51Q30, Shildon West, On or near Parking Area
Criminal damage and arson: England, Bishop Auckland, County Durham, Durham, North East, DL4 1EL, Y51Q30, Shildon West, On or near Robson Street
Criminal damage and arson: England, Bishop Auckland, County Durham, Durham, North East, DL4 1EH, Y51Q30, Shildon West, On or near Primitive Street
Criminal damage and arson: England, Bishop Auckland, County Durham, Durham, North East, DL4 1HB, Y51Q30, Shildon West, On or near Parking Area
Criminal damage and arson: England, Bishop Auckland, County Durham, Durham, North East, DL4 1BA, Y51Q30, Shildon West, On or near Elm Road
Other theft: England, Bishop Auckland, County Durham, Durham, North East, DL148UR, Y51Q30, Shildon West, On or near Close House
Other theft: England, Bishop Auckland, County Durham, Durham, North East, DL148UU, Y51Q30, Shildon West, On or near Eldon Bank
Other theft: England, Bishop Auckland, County Durham, Durham, North East, DL4 1EY, Y51Q30, Shildon West, On or near Dean Street
Public order: England, Bishop Auckland, County Durham, Durham, North East, DL4 1EL, Y51Q30, Shildon West, On or near Robson Street
Shoplifting: England, Bishop Auckland, County Durham, Durham, North East, DL4 1QP, Y51Q30, Shildon West, On or near Association Street
Shoplifting: England, Bishop Auckland, County Durham, Durham, North East, DL4 1HA, Y51Q30, Shildon West, On or near Parking Area
Shoplifting: England, Bishop Auckland, County Durham, Durham, North East, DL4 1HA, Y51Q30, Shildon West, On or near Parking Area
Shoplifting: England, Bishop Auckland, County Durham, Durham, North East, DL4 1HA, Y51Q30, Shildon West, On or near Parking Area
Shoplifting: England, Bishop Auckland, County Durham, Durham, North East, DL4 1HA, Y51Q30, Shildon West, On or near Parking Area
Shoplifting: England, Bishop Auckland, County Durham, Durham, North East, DL4 1HA, Y51Q30, Shildon West, On or near Parking Area
Shoplifting: England, Bishop Auckland, County Durham, Durham, North East, DL4 1EL, Y51Q30, Shildon West, On or near Robson Street
Vehicle crime: England, Bishop Auckland, County Durham, Durham, North East, DL4 1BA, Y51Q30, Shildon West, On or near Elm Road
Violence and sexual offences: England, Bishop Auckland, County Durham, Durham, North East, DL4 1BD, Y51Q30, Shildon West, On or near Valley View Court
Anti-social behaviour: England, Bishop Auckland, County Durham, Durham, North East, DL4 2HR, Y51Q30, Shildon West, On or near Queen Street
Anti-social behaviour: England, Bishop Auckland, County Durham, Durham, North East, DL4 2HR, Y51Q30, Shildon West, On or near Queen Street
Anti-social behaviour: England, Bishop Auckland, County Durham, Durham, North East, DL4 2DP, Y51Q30, Shildon West, On or near Alexandra Street
Anti-social behaviour: England, Bishop Auckland, County Durham, Durham, North East, DL4 1BW, Y51Q30, Shildon West, On or near College Street
Anti-social behaviour: England, Bishop Auckland, County Durham, Durham, North East, DL4 2DP, Y51Q30, Shildon West, On or near Alexandra Street
Burglary: England, Bishop Auckland, County Durham, Durham, North East, DL4 2HW, Y51Q30, Shildon West, On or near Dent Street
Criminal damage and arson: England, Bishop Auckland, County Durham, Durham, North East, DL4 2HR, Y51Q30, Shildon West, On or near Queen Street
Criminal damage and arson: England, Bishop Auckland, County Durham, Durham, North East, DL4 2DP, Y51Q30, Shildon West, On or near Alexandra Street
Other theft: England, Bishop Auckland, County Durham, Durham, North East, DL4 2DR, Y51Q30, Shildon West, On or near South View
Public order: England, Bishop Auckland, County Durham, Durham, North East, DL4 2HW, Y51Q30, Shildon West, On or near Dent Street
Public order: England, Bishop Auckland, County Durham, Durham, North East, DL4 1AL, Y51Q30, Shildon West, On or near Police Station
Violence and sexual offences: England, Bishop Auckland, County Durham, Durham, North East, DL4 2DP, Y51Q30, Shildon West, On or near Alexandra Street
Violence and sexual offences: England, Bishop Auckland, County Durham, Durham, North East, DL4 2DP, Y51Q30, Shildon West, On or near Alexandra Street
Violence and sexual offences: England, Bishop Auckland, County Durham, Durham, North East, DL4 1AZ, Y51Q30, Shildon West, On or near Elm Drive
Anti-social behaviour: England, Bishop Auckland, County Durham, Durham, North East, Darlington, Sedgefield, DL4 2DQ, Y51Q30, Shildon East, On or near Parking Area
Anti-social behaviour: England, Bishop Auckland, County Durham, Durham, North East, Darlington, Sedgefield, DL4 2RQ, Y51Q30, Shildon East, On or near Linden Close
Anti-social behaviour: England, Bishop Auckland, County Durham, Durham, North East, Darlington, Sedgefield, DL4 2RQ, Y51Q30, Shildon East, On or near Linden Close
Anti-social behaviour: England, Bishop Auckland, County Durham, Durham, North East, Darlington, Sedgefield, DL4 2LE, Y51Q30, Shildon East, On or near Dale Grove
Anti-social behaviour: England, Bishop Auckland, County Durham, Durham, North East, Darlington, Sedgefield, DL4 2DQ, Y51Q30, Shildon East, On or near Parking Area
Anti-social behaviour: England, Bishop Auckland, County Durham, Durham, North East, Darlington, Sedgefield, DL4 2DQ, Y51Q30, Shildon East, On or near Parking Area
Anti-social behaviour: England, Bishop Auckland, County Durham, Durham, North East, Darlington, Sedgefield, DL4 2RQ, Y51Q30, Shildon East, On or near Linden Close
Anti-social behaviour: England, Bishop Auckland, County Durham, Durham, North East, Darlington, Sedgefield, DL4 2DQ, Y51Q30, Shildon East, On or near Parking Area
Anti-social behaviour: England, Bishop Auckland, County Durham, Durham, North East, Darlington, Sedgefield, DL4 2AJ, Y51Q30, Shildon East, On or near Sports/Recreation Area
Anti-social behaviour: England, Bishop Auckland, County Durham, Durham, North East, Darlington, Sedgefield, DL4 2DQ, Y51Q30, Shildon East, On or near Parking Area
Bicycle theft: England, Bishop Auckland, County Durham, Durham, North East, Darlington, Sedgefield, DL4 2AJ, Y51Q30, Shildon East, On or near Sports/Recreation Area
Bicycle theft: England, Bishop Auckland, County Durham, Durham, North East, DL4 2BW, Y51Q30, Shildon East, On or near Yewtree Avenue
Vehicle crime: England, Bishop Auckland, County Durham, Durham, North East, Darlington, Sedgefield, DL4 2LH, Y51Q30, Shildon East, On or near Dale Road
Violence and sexual offences: England, Bishop Auckland, County Durham, Durham, North East, Darlington, Sedgefield, DL4 2LG, Y51Q30, Shildon East, On or near Dalton Crescent
Violence and sexual offences: England, Bishop Auckland, County Durham, Durham, North East, DL4 2BW, Y51Q30, Shildon East, On or near Yewtree Avenue
Violence and sexual offences: England, Bishop Auckland, County Durham, Durham, North East, Darlington, Sedgefield, DL4 2LG, Y51Q30, Shildon East, On or near Dalton Crescent
Violence and sexual offences: England, Bishop Auckland, County Durham, Durham, North East, Darlington, Sedgefield, DL4 2AJ, Y51Q30, Shildon East, On or near Sports/Recreation Area
Violence and sexual offences: England, Bishop Auckland, County Durham, Durham, North East, DL4 2AY, Y51Q30, Shildon East, On or near Glaisdale Gardens
Violence and sexual offences: England, Bishop Auckland, County Durham, Durham, North East, Darlington, Sedgefield, DL4 2AJ, Y51Q30, Shildon East, On or near Sports/Recreation Area
Anti-social behaviour: England, Bishop Auckland, County Durham, Durham, North East, DL4 2EE, Y51Q30, Shildon East, On or near Jubilee Road
Anti-social behaviour: England, Bishop Auckland, County Durham, Durham, North East, DL4 1NE, Y51Q30, Shildon West, On or near Sycamore Square
Anti-social behaviour: England, Bishop Auckland, County Durham, Durham, North East, DL4 2EE, Y51Q30, Shildon East, On or near Jubilee Road
Anti-social behaviour: England, Bishop Auckland, County Durham, Durham, North East, DL4 2HS, Y51Q30, Shildon East, On or near Chestnut Close
Anti-social behaviour: England, Bishop Auckland, County Durham, Durham, North East, DL4 2HS, Y51Q30, Shildon East, On or near Chestnut Close
Anti-social behaviour: England, Bishop Auckland, County Durham, Durham, North East, DL4 2AF, Y51Q30, Shildon East, On or near Maple Avenue
Anti-social behaviour: England, Bishop Auckland, County Durham, Durham, North East, DL4 2EF, Y51Q30, Shildon East, On or near Jasmine Avenue
Anti-social behaviour: England, Bishop Auckland, County Durham, Durham, North East, DL4 2EE, Y51Q30, Shildon East, On or near Jubilee Road
Anti-social behaviour: England, Bishop Auckland, County Durham, Durham, North East, DL4 2EF, Y51Q30, Shildon East, On or near Jasmine Avenue
Anti-social behaviour: England, Bishop Auckland, County Durham, Durham, North East, DL4 2EF, Y51Q30, Shildon East, On or near Jasmine Avenue
Burglary: England, Bishop Auckland, County Durham, Durham, North East, DL4 2DB, Y51Q30, Shildon East, On or near Larch Avenue
Criminal damage and arson: England, Bishop Auckland, County Durham, Durham, North East, DL4 2AG, Y51Q30, Shildon East, On or near Rowan Avenue
Criminal damage and arson: England, Bishop Auckland, County Durham, Durham, North East, DL4 2AG, Y51Q30, Shildon East, On or near Pine Tree Crescent
Drugs: England, Bishop Auckland, County Durham, Durham, North East, DL4 1NA, Y51Q30, Shildon West, On or near Cedar Grove
Drugs: England, Bishop Auckland, County Durham, Durham, North East, DL4 2EE, Y51Q30, Shildon East, On or near Jubilee Road
Other theft: England, Bishop Auckland, County Durham, Durham, North East, DL4 2EG, Y51Q30, Shildon East, On or near Firtree
Public order: England, Bishop Auckland, County Durham, Durham, North East, DL4 1NE, Y51Q30, Shildon West, On or near Ash Grove
Public order: England, Bishop Auckland, County Durham, Durham, North East, DL4 2AF, Y51Q30, Shildon East, On or near Maple Avenue
Shoplifting: England, Bishop Auckland, County Durham, Durham, North East, DL4 2EF, Y51Q30, Shildon East, On or near Jasmine Avenue
Violence and sexual offences: England, Bishop Auckland, County Durham, Durham, North East, DL4 2AA, Y51Q30, Shildon East, On or near Holly Hill
Violence and sexual offences: England, Bishop Auckland, County Durham, Durham, North East, DL4 2AA, Y51Q30, Shildon East, On or near Holly Hill
Violence and sexual offences: England, Bishop Auckland, County Durham, Durham, North East, DL4 2AG, Y51Q30, Shildon East, On or near Pine Tree Crescent
Violence and sexual offences: England, Bishop Auckland, County Durham, Durham, North East, DL4 2AA, Y51Q30, Shildon East, On or near Holly Hill
Violence and sexual offences: England, Bishop Auckland, County Durham, Durham, North East, DL4 2AA, Y51Q30, Shildon East, On or near Holly Hill
Violence and sexual offences: England, Bishop Auckland, County Durham, Durham, North East, DL4 2HS, Y51Q30, Shildon East, On or near Chestnut Close
Violence and sexual offences: England, Bishop Auckland, County Durham, Durham, North East, DL4 2AB, Y51Q30, Shildon East, On or near Coronation Avenue
Anti-social behaviour: England, County Durham, Durham, North East, Darlington, Sedgefield, DL5 7PQ, Y51Q30, Shildon East, On or near Zetland Hunt
Bicycle theft: England, County Durham, Durham, North East, Sedgefield, DL5 7HT, Y51Q30, Shildon East, On or near Hambleton Court
Anti-social behaviour: England, County Durham, Durham, North East, Sedgefield, DL5 7LY, Y51Q30, Shildon East, On or near Paxton Close
Anti-social behaviour: England, County Durham, Durham, North East, Sedgefield, DL5 7EP, Y51Q30, Shildon East, On or near Pedestrian Subway
Criminal damage and arson: England, County Durham, Durham, North East, Sedgefield, DL5 7LP, Y51Q30, Shildon East, On or near Bluebell Close
Other theft: England, County Durham, Durham, North East, Sedgefield, DL5 7QT, Y51Q30, Shildon East, On or near Lisle Road
Anti-social behaviour: England, County Durham, Durham, North East, Darlington, Sedgefield, DL5 7PH, Y51Q30, Shildon East, On or near The Saddlery
Anti-social behaviour: England, County Durham, Durham, North East, Darlington, Sedgefield, DL5 7HF, Y51Q30, Shildon East, On or near Stocks Green
Anti-social behaviour: England, County Durham, Durham, North East, Darlington, Sedgefield, DL5 7PR, Y51Q30, Shildon East, On or near Pedestrian Subway
Anti-social behaviour: England, County Durham, Durham, North East, Darlington, Sedgefield, DL5 7PR, Y51Q30, Shildon East, On or near Pedestrian Subway
Anti-social behaviour: England, County Durham, Durham, North East, Darlington, Sedgefield, DL5 7PR, Y51Q30, Shildon East, On or near Pedestrian Subway
Anti-social behaviour: England, County Durham, Durham, North East, Darlington, Sedgefield, DL5 7PR, Y51Q30, Shildon East, On or near Pedestrian Subway
Burglary: England, Bishop Auckland, County Durham, Durham, North East, Darlington, Sedgefield, DL5 7JQ, Y51Q30, Shildon East, On or near Walker'S Lane
Burglary: England, Bishop Auckland, County Durham, Durham, North East, Sedgefield, DL5 7JA, Y51Q30, Shildon East, On or near The Meadows
Criminal damage and arson: England, Bishop Auckland, County Durham, Durham, North East, Sedgefield, DL5 7JJ, Y51Q30, Shildon East, On or near The Close
Public order: England, County Durham, Durham, North East, Darlington, Sedgefield, DL5 7HF, Y51Q30, Shildon East, On or near Stocks Green
Public order: England, County Durham, Durham, North East, Darlington, Sedgefield, DL5 7PR, Y51Q30, Shildon East, On or near Pedestrian Subway
Public order: England, County Durham, Durham, North East, Darlington, Sedgefield, DL5 7HF, Y51Q30, Shildon East, On or near Stocks Green
Vehicle crime: England, County Durham, Durham, North East, Darlington, Sedgefield, DL5 7HF, Y51Q30, Shildon East, On or near Stocks Green
Violence and sexual offences: England, County Durham, Durham, North East, Darlington, Sedgefield, DL5 7PR, Y51Q30, Shildon East, On or near Pedestrian Subway
Violence and sexual offences: England, County Durham, Durham, North East, Darlington, Sedgefield, DL5 7PR, Y51Q30, Shildon East, On or near Pedestrian Subway
