Anti-social behaviour: England, South West, Cornwall, Cornwall, North Cornwall, EX238LB, Y52Q39, Bude North and Stratton, On or near The Strand
Violence and sexual offences: England, South West, Devon, Torridge and West Devon, Torridge District, EX393LT, Y52Q39, Bideford North, On or near Lime Grove
Violence and sexual offences: England, South West, Devon, Torridge and West Devon, Torridge District, North Devon, North Devon District, EX392AS, Y52Q39, Bideford North, On or near High Street
Violence and sexual offences: England, South West, Devon, Torridge and West Devon, Torridge District, North Devon, North Devon District, EX392JS, Y52Q39, Bideford North, On or near Parking Area
Violence and sexual offences: England, South West, Devon, Torridge and West Devon, Torridge District, North Devon, North Devon District, EX392JS, Y52Q39, Bideford North, On or near Parking Area
Violence and sexual offences: England, South West, Devon, Torridge and West Devon, Torridge District, North Devon, North Devon District, EX392DL, Y52Q39, Bideford North, On or near Buttgarden Street
Violence and sexual offences: England, South West, Devon, Torridge and West Devon, Torridge District, North Devon, North Devon District, EX392JS, Y52Q39, Bideford North, On or near Parking Area
Burglary: England, South West, Devon, Torridge and West Devon, Torridge District, EX393RW, Y52Q39, Bideford North, On or near Kenwith View
Violence and sexual offences: England, South West, Devon, Torridge and West Devon, Torridge District, EX393RR, Y52Q39, Bideford North, On or near Field End
Anti-social behaviour: England, South West, Devon, Torridge and West Devon, Torridge District, North Devon, North Devon District, EX392QX, Y52Q39, Orchard Hill, On or near Newbridge Close
Anti-social behaviour: England, South West, Devon, Torridge and West Devon, Torridge District, North Devon, North Devon District, EX392QJ, Y52Q39, Bideford North, On or near Parking Area
Anti-social behaviour: England, South West, Devon, Torridge and West Devon, Torridge District, North Devon, North Devon District, EX392LG, Y52Q39, Bideford North, On or near Park Avenue
Anti-social behaviour: England, South West, Devon, Torridge and West Devon, Torridge District, North Devon, North Devon District, EX392LG, Y52Q39, Bideford North, On or near Park Avenue
Anti-social behaviour: England, South West, Devon, Torridge and West Devon, Torridge District, North Devon, North Devon District, EX392QN, Y52Q39, Orchard Hill, On or near Sports/Recreation Area
Anti-social behaviour: England, South West, Devon, Torridge and West Devon, Torridge District, North Devon, North Devon District, EX392AD, Y52Q39, Bideford North, On or near Parking Area
Anti-social behaviour: England, South West, Devon, Torridge and West Devon, Torridge District, North Devon, North Devon District, EX392AD, Y52Q39, Bideford North, On or near Parking Area
Anti-social behaviour: England, South West, Devon, Torridge and West Devon, Torridge District, North Devon, North Devon District, EX392NG, Y52Q39, Bideford North, On or near Willet Street
Anti-social behaviour: England, South West, Devon, Torridge and West Devon, Torridge District, North Devon, North Devon District, EX392QX, Y52Q39, Orchard Hill, On or near Newbridge Close
Anti-social behaviour: England, South West, Devon, Torridge and West Devon, Torridge District, North Devon, North Devon District, EX392AD, Y52Q39, Bideford North, On or near Parking Area
Anti-social behaviour: England, South West, Devon, Torridge and West Devon, Torridge District, North Devon, North Devon District, EX392LP, Y52Q39, Orchard Hill, On or near Newton Road
Burglary: England, South West, Devon, Torridge and West Devon, Torridge District, North Devon, North Devon District, EX392ND, Y52Q39, Bideford North, On or near Chingswell Street
Criminal damage and arson: England, South West, Devon, Torridge and West Devon, Torridge District, North Devon, North Devon District, EX392ND, Y52Q39, Bideford North, On or near Chingswell Street
Criminal damage and arson: England, South West, Devon, Torridge and West Devon, Torridge District, North Devon, North Devon District, EX392QJ, Y52Q39, Bideford North, On or near Parking Area
Criminal damage and arson: England, South West, Devon, Torridge and West Devon, Torridge District, North Devon, North Devon District, EX392NG, Y52Q39, Bideford North, On or near Willet Street
Criminal damage and arson: England, South West, Devon, Torridge and West Devon, Torridge District, North Devon, North Devon District, EX392PY, Y52Q39, Bideford North, On or near Sports/Recreation Area
Drugs: England, South West, Devon, Torridge and West Devon, Torridge District, North Devon, North Devon District, EX392RB, Y52Q39, Orchard Hill, On or near Parking Area
Other theft: England, South West, Devon, Torridge and West Devon, Torridge District, North Devon, North Devon District, EX392LG, Y52Q39, Bideford North, On or near Park Avenue
Shoplifting: England, South West, Devon, Torridge and West Devon, Torridge District, North Devon, North Devon District, EX392NG, Y52Q39, Bideford North, On or near Willet Street
Shoplifting: England, South West, Devon, Torridge and West Devon, Torridge District, North Devon, North Devon District, EX392NG, Y52Q39, Bideford North, On or near Willet Street
Shoplifting: England, South West, Devon, Torridge and West Devon, Torridge District, North Devon, North Devon District, EX392LJ, Y52Q39, Bideford North, On or near Supermarket
Shoplifting: England, South West, Devon, Torridge and West Devon, Torridge District, North Devon, North Devon District, EX392NG, Y52Q39, Bideford North, On or near Willet Street
Violence and sexual offences: England, South West, Devon, Torridge and West Devon, Torridge District, North Devon, North Devon District, EX393LH, Y52Q39, Bideford North, On or near Stella Maris Court
Violence and sexual offences: England, South West, Devon, Torridge and West Devon, Torridge District, North Devon, North Devon District, EX392PJ, Y52Q39, Bideford North, On or near Ropewalk
Violence and sexual offences: England, South West, Devon, Torridge and West Devon, Torridge District, North Devon, North Devon District, EX392NG, Y52Q39, Bideford North, On or near Willet Street
Violence and sexual offences: England, South West, Devon, Torridge and West Devon, Torridge District, North Devon, North Devon District, EX392PY, Y52Q39, Bideford North, On or near Sports/Recreation Area
Anti-social behaviour: England, South West, Devon, Torridge and West Devon, Torridge District, North Devon, North Devon District, EX394BS, Y52Q39, Bideford East, On or near Barton Tors
Anti-social behaviour: England, South West, Devon, Torridge and West Devon, Torridge District, North Devon, North Devon District, EX394BS, Y52Q39, Bideford East, On or near Barton Tors
Anti-social behaviour: England, South West, Devon, Torridge and West Devon, Torridge District, North Devon, North Devon District, EX394AZ, Y52Q39, Bideford East, On or near Heathfield Road
Anti-social behaviour: England, South West, Devon, Torridge and West Devon, Torridge District, North Devon, North Devon District, EX394BS, Y52Q39, Bideford East, On or near Barton Tors
Burglary: England, South West, Devon, Torridge and West Devon, Torridge District, North Devon, North Devon District, EX394DP, Y52Q39, Bideford East, On or near Chudleigh Road
Criminal damage and arson: England, South West, Devon, Torridge and West Devon, Torridge District, North Devon, North Devon District, EX394DS, Y52Q39, Bideford East, On or near Torridge Street
Criminal damage and arson: England, South West, Devon, Torridge and West Devon, Torridge District, North Devon, North Devon District, EX394RS, Y52Q39, Bideford East, On or near Ian Hay Close
Other theft: England, South West, Devon, Torridge and West Devon, Torridge District, North Devon, North Devon District, EX394RH, Y52Q39, Bideford East, On or near Ethelwynne Brown Close
Other theft: England, South West, Devon, Torridge and West Devon, Torridge District, North Devon, North Devon District, EX394BS, Y52Q39, Bideford East, On or near Barton Tors
Other theft: England, South West, Devon, Torridge and West Devon, Torridge District, North Devon, North Devon District, EX394DP, Y52Q39, Bideford East, On or near Torrington Street
Public order: England, South West, Devon, Torridge and West Devon, Torridge District, North Devon, North Devon District, EX394BS, Y52Q39, Bideford East, On or near Barton Tors
Public order: England, South West, Devon, Torridge and West Devon, Torridge District, North Devon, North Devon District, EX394BS, Y52Q39, Bideford East, On or near Barton Tors
Violence and sexual offences: England, South West, Devon, Torridge and West Devon, Torridge District, North Devon, North Devon District, EX394AW, Y52Q39, Bideford East, On or near Chudleigh Avenue
Violence and sexual offences: England, South West, Devon, Torridge and West Devon, Torridge District, North Devon, North Devon District, EX394AU, Y52Q39, Bideford East, On or near Barnstaple Street
Violence and sexual offences: England, South West, Devon, Torridge and West Devon, Torridge District, EX394HE, Y52Q39, Bideford East, On or near Restarick Close
Violence and sexual offences: England, South West, Devon, Torridge and West Devon, Torridge District, North Devon, North Devon District, EX394DY, Y52Q39, Bideford East, On or near Southfield Road
Anti-social behaviour: England, South West, Devon, Torridge and West Devon, Torridge District, North Devon, North Devon District, EX394GD, Y52Q39, Bideford East, On or near Alverdiscott Road
Anti-social behaviour: England, South West, Devon, Torridge and West Devon, Torridge District, North Devon, North Devon District, EX394GD, Y52Q39, Bideford East, On or near Alverdiscott Road
Anti-social behaviour: England, South West, Devon, Torridge and West Devon, Torridge District, North Devon, North Devon District, EX394FH, Y52Q39, Bideford East, On or near Fulford Close
Criminal damage and arson: England, South West, Devon, Torridge and West Devon, Torridge District, North Devon, North Devon District, EX394FH, Y52Q39, Bideford East, On or near Fulford Close
Criminal damage and arson: England, South West, Devon, Torridge and West Devon, Torridge District, North Devon, North Devon District, EX394FH, Y52Q39, Bideford East, On or near Fulford Close
Anti-social behaviour: England, South West, Devon, Torridge and West Devon, Torridge District, North Devon, North Devon District, EX394AT, Y52Q39, Bideford East, On or near Torrington Lane
Anti-social behaviour: England, South West, Devon, Torridge and West Devon, Torridge District, North Devon, North Devon District, EX394AY, Y52Q39, Bideford East, On or near Culm Close
Anti-social behaviour: England, South West, Devon, Torridge and West Devon, Torridge District, North Devon, North Devon District, EX394AZ, Y52Q39, Bideford East, On or near Merryfield Road
Anti-social behaviour: England, South West, Devon, Torridge and West Devon, Torridge District, North Devon, North Devon District, EX394FR, Y52Q39, Bideford East, On or near Watkins Way
Anti-social behaviour: England, South West, Devon, Torridge and West Devon, Torridge District, North Devon, North Devon District, EX394HF, Y52Q39, Bideford East, On or near Chubb Road
Anti-social behaviour: England, South West, Devon, Torridge and West Devon, Torridge District, North Devon, North Devon District, EX394BQ, Y52Q39, Bideford East, On or near Avon Road
Anti-social behaviour: England, South West, Devon, Torridge and West Devon, Torridge District, North Devon, North Devon District, EX394QL, Y52Q39, Bideford East, On or near North Avenue
Criminal damage and arson: England, South West, Devon, Torridge and West Devon, Torridge District, North Devon, North Devon District, EX394RJ, Y52Q39, Bideford East, On or near Northfield Road
Criminal damage and arson: England, South West, Devon, Torridge and West Devon, Torridge District, North Devon, North Devon District, EX394NA, Y52Q39, Bideford East, On or near Biddiblack Way
Criminal damage and arson: England, South West, Devon, Torridge and West Devon, Torridge District, North Devon, North Devon District, EX394BQ, Y52Q39, Bideford East, On or near Avon Road
Criminal damage and arson: England, South West, Devon, Torridge and West Devon, Torridge District, North Devon, North Devon District, EX394FR, Y52Q39, Bideford East, On or near Watkins Way
Possession of weapons: England, South West, Devon, Torridge and West Devon, Torridge District, North Devon, North Devon District, EX394RJ, Y52Q39, Bideford East, On or near Northfield Road
Public order: England, South West, Devon, Torridge and West Devon, Torridge District, North Devon, North Devon District, EX394FN, Y52Q39, Bideford East, On or near Honey Close
Violence and sexual offences: England, South West, Devon, Torridge and West Devon, Torridge District, North Devon, North Devon District, EX394RJ, Y52Q39, Bideford East, On or near Northfield Road
Violence and sexual offences: England, South West, Devon, Torridge and West Devon, Torridge District, North Devon, North Devon District, EX394BN, Y52Q39, Bideford East, On or near Sentry Corner
Violence and sexual offences: England, South West, Devon, Torridge and West Devon, Torridge District, North Devon, North Devon District, EX394AY, Y52Q39, Bideford East, On or near Fillablack Way
Violence and sexual offences: England, South West, Devon, Torridge and West Devon, Torridge District, North Devon, North Devon District, EX394FE, Y52Q39, Bideford East, On or near Chapel Park Close
Violence and sexual offences: England, South West, Devon, Torridge and West Devon, Torridge District, North Devon, North Devon District, EX394ER, Y52Q39, Bideford East, On or near Clifton Street
Anti-social behaviour: England, South West, Devon, Torridge and West Devon, Torridge District, EX393HW, Y52Q39, Bideford South, On or near Oaklands
Anti-social behaviour: England, South West, Devon, Torridge and West Devon, Torridge District, EX393HB, Y52Q39, Bideford South, On or near Clovelly Road
Anti-social behaviour: England, South West, Devon, Torridge and West Devon, Torridge District, EX393HB, Y52Q39, Bideford South, On or near Clovelly Road
Anti-social behaviour: England, South West, Devon, Torridge and West Devon, Torridge District, EX393HB, Y52Q39, Bideford South, On or near Brennacott Place
Anti-social behaviour: England, South West, Devon, Torridge and West Devon, Torridge District, EX393HG, Y52Q39, Bideford South, On or near High Park Close
Drugs: England, South West, Devon, Torridge and West Devon, Torridge District, EX393QP, Y52Q39, Bideford South, On or near A39
Other theft: England, South West, Devon, Torridge and West Devon, Torridge District, EX393DU, Y52Q39, Bideford South, On or near Shopping Area
Other theft: England, South West, Devon, Torridge and West Devon, Torridge District, EX393DU, Y52Q39, Bideford South, On or near Shopping Area
Public order: England, South West, Devon, Torridge and West Devon, Torridge District, EX393HA, Y52Q39, Bideford South, On or near Brennacott Road
Violence and sexual offences: England, South West, Devon, Torridge and West Devon, Torridge District, EX393HA, Y52Q39, Bideford South, On or near Brennacott Road
Anti-social behaviour: England, South West, Devon, Torridge and West Devon, Torridge District, EX393BU, Y52Q39, Bideford South, On or near Union Close
Anti-social behaviour: England, South West, Devon, Torridge and West Devon, Torridge District, North Devon, North Devon District, EX392EG, Y52Q39, Bideford South, On or near Torridge Hill
Anti-social behaviour: England, South West, Devon, Torridge and West Devon, Torridge District, EX393BY, Y52Q39, Bideford South, On or near Coronation Road
Anti-social behaviour: England, South West, Devon, Torridge and West Devon, Torridge District, North Devon, North Devon District, EX392AZ, Y52Q39, Bideford South, On or near New Road
Anti-social behaviour: England, South West, Devon, Torridge and West Devon, Torridge District, North Devon, North Devon District, EX392EW, Y52Q39, Bideford North, On or near Meddon Street
Anti-social behaviour: England, South West, Devon, Torridge and West Devon, Torridge District, EX393AW, Y52Q39, Bideford South, On or near Geneva Court
Criminal damage and arson: England, South West, Devon, Torridge and West Devon, Torridge District, EX393BY, Y52Q39, Bideford South, On or near Coronation Road
Criminal damage and arson: England, South West, Devon, Torridge and West Devon, Torridge District, North Devon, North Devon District, EX392EW, Y52Q39, Bideford North, On or near Meddon Street
Criminal damage and arson: England, South West, Devon, Torridge and West Devon, Torridge District, EX393JU, Y52Q39, Bideford North, On or near Dymond Road
Criminal damage and arson: England, South West, Devon, Torridge and West Devon, Torridge District, EX393BW, Y52Q39, Bideford South, On or near Milton Place
Criminal damage and arson: England, South West, Devon, Torridge and West Devon, Torridge District, EX393DJ, Y52Q39, Bideford South, On or near Catshole Lane
Violence and sexual offences: England, South West, Devon, Torridge and West Devon, Torridge District, EX393BU, Y52Q39, Bideford South, On or near Union Close
Violence and sexual offences: England, South West, Devon, Torridge and West Devon, Torridge District, EX393BU, Y52Q39, Bideford South, On or near Union Close
Violence and sexual offences: England, South West, Devon, Torridge and West Devon, Torridge District, EX393AW, Y52Q39, Bideford South, On or near Geneva Court
Violence and sexual offences: England, South West, Devon, Torridge and West Devon, Torridge District, EX393JU, Y52Q39, Bideford North, On or near Dymond Road
Violence and sexual offences: England, South West, Devon, Torridge and West Devon, Torridge District, North Devon, North Devon District, EX392EW, Y52Q39, Bideford North, On or near Meddon Street
Anti-social behaviour: England, South West, Devon, Torridge and West Devon, Torridge District, EX393EE, Y52Q39, Bideford South, On or near Hawthorn Park
Anti-social behaviour: England, South West, Devon, Torridge and West Devon, Torridge District, EX393ET, Y52Q39, Bideford South, On or near Sports/Recreation Area
Anti-social behaviour: England, South West, Devon, Torridge and West Devon, Torridge District, EX393ED, Y52Q39, Bideford South, On or near High View
Anti-social behaviour: England, South West, Devon, Torridge and West Devon, Torridge District, EX393ER, Y52Q39, Bideford South, On or near Grenville Estate Crescent
Anti-social behaviour: England, South West, Devon, Torridge and West Devon, Torridge District, EX393DR, Y52Q39, Bideford South, On or near Buckland Cross
Criminal damage and arson: England, South West, Devon, Torridge and West Devon, Torridge District, EX393EB, Y52Q39, Bideford South, On or near Capern Road
Criminal damage and arson: England, South West, Devon, Torridge and West Devon, Torridge District, EX393EE, Y52Q39, Bideford South, On or near Hawthorn Park
Criminal damage and arson: England, South West, Devon, Torridge and West Devon, Torridge District, EX393EE, Y52Q39, Bideford South, On or near Hawthorn Park
Criminal damage and arson: England, South West, Devon, Torridge and West Devon, Torridge District, EX393DL, Y52Q39, Bideford South, On or near Hamilton Close
Criminal damage and arson: England, South West, Devon, Torridge and West Devon, Torridge District, EX393DL, Y52Q39, Bideford South, On or near Hamilton Close
Vehicle crime: England, South West, Devon, Torridge and West Devon, Torridge District, EX393BQ, Y52Q39, Bideford South, On or near Montague Place
Violence and sexual offences: England, South West, Devon, Torridge and West Devon, Torridge District, EX393AY, Y52Q39, Bideford South, On or near Stucley Road
Violence and sexual offences: England, South West, Devon, Torridge and West Devon, Torridge District, EX393EE, Y52Q39, Bideford South, On or near Hawthorn Park
Anti-social behaviour: England, South West, Devon, Torridge and West Devon, Torridge District, EX395SP, Y52Q39, Clovelly Bay, On or near Abbots Close
Violence and sexual offences: England, South West, Devon, Torridge and West Devon, Torridge District, EX395DX, Y52Q39, Clovelly Bay, On or near A39
Anti-social behaviour: England, South West, Devon, Torridge and West Devon, Torridge District, EX396AF, Y52Q39, Hartland and Bradworthy, On or near Natcott Lane
Anti-social behaviour: England, South West, Devon, Torridge and West Devon, Torridge District, EX396BW, Y52Q39, Hartland and Bradworthy, On or near North Road
Vehicle crime: England, South West, Devon, Torridge and West Devon, Torridge District, On or near Parking Area
Violence and sexual offences: England, South West, Devon, Torridge and West Devon, Torridge District, EX396AF, Y52Q39, Hartland and Bradworthy, On or near Natcott Lane
Anti-social behaviour: England, South West, Devon, Torridge and West Devon, Torridge District, EX395HE, Y52Q39, Monkleigh and Littleham, On or near Conference/Exhibition Centre
Anti-social behaviour: England, South West, Devon, Torridge and West Devon, Torridge District, EX395HP, Y52Q39, Monkleigh and Littleham, On or near Dunn Lane
Anti-social behaviour: England, South West, Devon, Torridge and West Devon, Torridge District, EX395HS, Y52Q39, Monkleigh and Littleham, On or near Coach Drive
Violence and sexual offences: England, South West, Devon, Torridge and West Devon, Torridge District, EX388JE, Y52Q39, Monkleigh and Littleham, On or near Rakeham Hill
Anti-social behaviour: England, South West, Devon, Torridge and West Devon, Torridge District, EX388DL, Y52Q39, Torrington, On or near Torridge View
Anti-social behaviour: England, South West, Devon, Torridge and West Devon, Torridge District, EX388EQ, Y52Q39, Torrington, On or near Petrol Station
Anti-social behaviour: England, South West, Devon, Torridge and West Devon, Torridge District, EX388ED, Y52Q39, Torrington, On or near High Street
Anti-social behaviour: England, South West, Devon, Torridge and West Devon, Torridge District, EX388ED, Y52Q39, Torrington, On or near High Street
Anti-social behaviour: England, South West, Devon, Torridge and West Devon, Torridge District, EX388EQ, Y52Q39, Torrington, On or near Petrol Station
Anti-social behaviour: England, South West, Devon, Torridge and West Devon, Torridge District, EX387BQ, Y52Q39, Torrington, On or near Well Street
Criminal damage and arson: England, South West, Devon, Torridge and West Devon, Torridge District, EX388DU, Y52Q39, Torrington, On or near South Street
Criminal damage and arson: England, South West, Devon, Torridge and West Devon, Torridge District, EX388DU, Y52Q39, Torrington, On or near South Street
Criminal damage and arson: England, South West, Devon, Torridge and West Devon, Torridge District, EX388DU, Y52Q39, Torrington, On or near South Street
Criminal damage and arson: England, South West, Devon, Torridge and West Devon, Torridge District, EX387BQ, Y52Q39, Torrington, On or near Well Street
Criminal damage and arson: England, South West, Devon, Torridge and West Devon, Torridge District, EX388EP, Y52Q39, Torrington, On or near Well Park Road
Other theft: England, South West, Devon, Torridge and West Devon, Torridge District, EX388BS, Y52Q39, Torrington, On or near White'S Lane
Other theft: England, South West, Devon, Torridge and West Devon, Torridge District, EX388ED, Y52Q39, Torrington, On or near Supermarket
Public order: England, South West, Devon, Torridge and West Devon, Torridge District, EX388BS, Y52Q39, Torrington, On or near White'S Lane
Violence and sexual offences: England, South West, Devon, Torridge and West Devon, Torridge District, EX388EP, Y52Q39, Torrington, On or near Well Park Road
Violence and sexual offences: England, South West, Devon, Torridge and West Devon, Torridge District, EX388HF, Y52Q39, Torrington, On or near Castle Street
Violence and sexual offences: England, South West, Devon, Torridge and West Devon, Torridge District, EX388HS, Y52Q39, Torrington, On or near Fore Street
Anti-social behaviour: England, South West, Devon, Torridge and West Devon, Torridge District, EX387DD, Y52Q39, Torrington, On or near Fairfax Way
Anti-social behaviour: England, South West, Devon, Torridge and West Devon, Torridge District, EX387EE, Y52Q39, Torrington, On or near Caddywell Meadow
Anti-social behaviour: England, South West, Devon, Torridge and West Devon, Torridge District, EX387AS, Y52Q39, Torrington, On or near Morton Drive
Criminal damage and arson: England, South West, Devon, Torridge and West Devon, Torridge District, EX387BW, Y52Q39, Torrington, On or near Dickshill Lane
Criminal damage and arson: England, South West, Devon, Torridge and West Devon, Torridge District, EX387BW, Y52Q39, Torrington, On or near Dickshill Lane
Other theft: England, South West, Devon, Torridge and West Devon, Torridge District, EX388JD, Y52Q39, Torrington, On or near Station Hill
Violence and sexual offences: England, South West, Devon, Torridge and West Devon, Torridge District, EX387AT, Y52Q39, Torrington, On or near Sports/Recreation Area
Violence and sexual offences: England, South West, Devon, Torridge and West Devon, Torridge District, EX387AS, Y52Q39, Torrington, On or near Juries Lane
Violence and sexual offences: England, South West, Devon, Torridge and West Devon, Torridge District, EX387AS, Y52Q39, Torrington, On or near Juries Lane
Anti-social behaviour: England, South West, Devon, Torridge and West Devon, Torridge District, EX388PS, Y52Q39, Clinton, On or near Town Meadow
Anti-social behaviour: England, South West, Devon, Torridge and West Devon, Torridge District, EX388AT, Y52Q39, Clinton, On or near Apple Orchard
Anti-social behaviour: England, South West, Devon, Torridge and West Devon, Torridge District, EX388AT, Y52Q39, Clinton, On or near St Mary'S Close
Anti-social behaviour: England, South West, Devon, Torridge and West Devon, Torridge District, EX388AT, Y52Q39, Clinton, On or near Apple Orchard
Anti-social behaviour: England, South West, Devon, Torridge and West Devon, Torridge District, EX388AT, Y52Q39, Clinton, On or near Apple Orchard
Anti-social behaviour: England, South West, Devon, Torridge and West Devon, Torridge District, EX388AT, Y52Q39, Clinton, On or near Apple Orchard
Anti-social behaviour: England, South West, Devon, Torridge and West Devon, Torridge District, EX388AT, Y52Q39, Clinton, On or near Apple Orchard
Anti-social behaviour: England, South West, Devon, Torridge and West Devon, Torridge District, EX388AT, Y52Q39, Clinton, On or near Water Lane
Criminal damage and arson: England, South West, Devon, Torridge and West Devon, Torridge District, EX388PS, Y52Q39, Clinton, On or near A386
Criminal damage and arson: England, South West, Devon, Torridge and West Devon, Torridge District, EX388AT, Y52Q39, Clinton, On or near Water Lane
Criminal damage and arson: England, South West, Devon, Torridge and West Devon, Torridge District, EX203DF, Y52Q39, Clinton, On or near Bounsells Lane
Other theft: England, South West, Devon, Torridge and West Devon, Torridge District, EX203HR, Y52Q39, Clinton, On or near Chapel Close
Public order: England, South West, Devon, Torridge and West Devon, Torridge District, EX388AT, Y52Q39, Clinton, On or near Water Lane
Public order: England, South West, Devon, Torridge and West Devon, Torridge District, EX388AT, Y52Q39, Clinton, On or near Apple Orchard
Anti-social behaviour: England, South West, Devon, Torridge and West Devon, Torridge District, EX198UD, Y52Q39, Three Moors, On or near Stafford Way
Anti-social behaviour: England, South West, Devon, Torridge and West Devon, Torridge District, West Devon District, Central Devon, EX198PD, Y52Q39, Three Moors, On or near B3217
Criminal damage and arson: England, South West, Devon, Torridge and West Devon, Torridge District, EX198QB, Y52Q39, Three Moors, On or near Barlands Way
Burglary: England, South West, Devon, Torridge and West Devon, Torridge District, EX387HW, Y52Q39, Two Rivers, On or near Pound Meadow
Burglary: England, South West, Devon, Torridge and West Devon, Torridge District, EX387JW, Y52Q39, Two Rivers, On or near Kingscott Hill
Other theft: England, South West, Devon, Torridge and West Devon, Torridge District, EX387HW, Y52Q39, Two Rivers, On or near Pound Meadow
Anti-social behaviour: England, South West, Devon, Torridge and West Devon, Torridge District, EX198JJ, Y52Q39, Winkleigh, On or near Elms Meadow
Anti-social behaviour: England, South West, Devon, Torridge and West Devon, Torridge District, EX198HP, Y52Q39, Winkleigh, On or near Southernhay
Anti-social behaviour: England, South West, Devon, Torridge and West Devon, Torridge District, EX198JJ, Y52Q39, Winkleigh, On or near Elms Meadow
Anti-social behaviour: England, South West, Devon, Torridge and West Devon, Torridge District, EX198HS, Y52Q39, Winkleigh, On or near Castle Street
Anti-social behaviour: England, South West, Devon, Torridge and West Devon, Torridge District, EX198JJ, Y52Q39, Winkleigh, On or near Elms Meadow
Criminal damage and arson: England, South West, Devon, Torridge and West Devon, Torridge District, EX198JJ, Y52Q39, Winkleigh, On or near Elms Meadow
Public order: England, South West, Devon, Torridge and West Devon, Torridge District, EX198UA, Y52Q39, Winkleigh, On or near High Street
Violence and sexual offences: England, South West, Devon, Torridge and West Devon, Torridge District, EX198PS, Y52Q39, Winkleigh, On or near A3124
Violence and sexual offences: England, South West, Devon, Torridge and West Devon, Torridge District, EX187NX, Y52Q39, Winkleigh, On or near Wood Lane
Violence and sexual offences: England, South West, Devon, Torridge and West Devon, Torridge District, EX187NT, Y52Q39, Winkleigh, On or near The Square
Violence and sexual offences: England, South West, Devon, Torridge and West Devon, Torridge District, EX198LG, Y52Q39, Winkleigh, On or near Eggesford Road
Anti-social behaviour: England, South West, Devon, Torridge and West Devon, Torridge District, EX227TL, Y52Q39, Hartland and Bradworthy, On or near Sports/Recreation Area
Anti-social behaviour: England, South West, Devon, Torridge and West Devon, Torridge District, EX227SR, Y52Q39, Hartland and Bradworthy, On or near Langdon Road
Criminal damage and arson: England, South West, Devon, Cornwall, North Cornwall, Torridge and West Devon, Torridge District, EX396HF, Y52Q39, Hartland and Bradworthy, On or near Well Lane
Other theft: England, South West, Devon, Torridge and West Devon, Torridge District, EX227TB, Y52Q39, Hartland and Bradworthy, On or near St John'S Drive
Violence and sexual offences: England, South West, Devon, Torridge and West Devon, Torridge District, EX227SR, Y52Q39, Hartland and Bradworthy, On or near Langdon Road
Violence and sexual offences: England, South West, Devon, Torridge and West Devon, Torridge District, EX396HB, Y52Q39, Hartland and Bradworthy, On or near Parking Area
Violence and sexual offences: England, South West, Devon, Torridge and West Devon, Torridge District, EX227SR, Y52Q39, Hartland and Bradworthy, On or near Langdon Road
Anti-social behaviour: England, South West, Devon, Torridge and West Devon, Torridge District, EX226AA, Y52Q39, Holsworthy, On or near Fore Street
Anti-social behaviour: England, South West, Devon, Torridge and West Devon, Torridge District, EX226JW, Y52Q39, Holsworthy, On or near A3072
Anti-social behaviour: England, South West, Devon, Torridge and West Devon, Torridge District, EX226EP, Y52Q39, Holsworthy, On or near Waldon Way
Criminal damage and arson: England, South West, Devon, Torridge and West Devon, Torridge District, EX226AA, Y52Q39, Holsworthy, On or near Fore Street
Criminal damage and arson: England, South West, Devon, Torridge and West Devon, Torridge District, EX226AB, Y52Q39, Holsworthy, On or near Square
Drugs: England, South West, Devon, Torridge and West Devon, Torridge District, EX227BD, Y52Q39, Holsworthy, On or near The Willows
Public order: England, South West, Devon, Torridge and West Devon, Torridge District, EX227PW, Y52Q39, Holsworthy, On or near St Andrews Close
Public order: England, South West, Devon, Torridge and West Devon, Torridge District, EX226DG, Y52Q39, Holsworthy, On or near Conference/Exhibition Centre
Shoplifting: England, South West, Devon, Torridge and West Devon, Torridge District, EX226BQ, Y52Q39, Holsworthy, On or near Station Road
Shoplifting: England, South West, Devon, Torridge and West Devon, Torridge District, EX226AE, Y52Q39, Holsworthy, On or near Supermarket
Shoplifting: England, South West, Devon, Torridge and West Devon, Torridge District, EX226BQ, Y52Q39, Holsworthy, On or near Station Road
Violence and sexual offences: England, South West, Devon, Torridge and West Devon, Torridge District, EX226DG, Y52Q39, Holsworthy, On or near Parking Area
Violence and sexual offences: England, South West, Devon, Torridge and West Devon, Torridge District, EX226ES, Y52Q39, Holsworthy, On or near Neet Way
Anti-social behaviour: England, South West, Devon, Torridge and West Devon, Torridge District, EX226FE, Y52Q39, Holsworthy, On or near St Peters Road
Anti-social behaviour: England, South West, Devon, Torridge and West Devon, Torridge District, EX226HX, Y52Q39, Holsworthy, On or near The Vineyards
Anti-social behaviour: England, South West, Devon, Torridge and West Devon, Torridge District, EX226DG, Y52Q39, Holsworthy, On or near Western Road
Anti-social behaviour: England, South West, Devon, Torridge and West Devon, Torridge District, EX226JH, Y52Q39, Holsworthy, On or near Meadow View
Criminal damage and arson: England, South West, Devon, Torridge and West Devon, Torridge District, EX226DG, Y52Q39, Holsworthy, On or near Western Road
Violence and sexual offences: England, South West, Devon, Torridge and West Devon, Torridge District, EX226AF, Y52Q39, Holsworthy, On or near Honey Meadows
